cik,name
2110646,"Andrews Advisory Associates, LLC"
1906227,"ANDREWS, LUCIA WEALTH MANAGEMENT LLC"
1602020,"Anfield Capital Management, LLC"
1613158,"Angel Oak Capital Advisors, LLC"
1535695,"Angeles Investment Advisors, LLC"
1929170,"ANGELES WEALTH MANAGEMENT, LLC"
2053917,"Ankerstar Wealth, LLC"
1811739,"Annandale Capital, LLC"
1542287,"Annex Advisory Services, LLC"
1998414,"Annis Gardner Whiting Capital Advisors, LLC"
1817534,"Anomaly Capital Management, LP"
1906003,"Anson Capital, Inc."
1491072,Anson Funds Management LP
2126503,Anther Capital Ltd
1809930,"Anthracite Investment Company, Inc."
1652442,ANTIPODES PARTNERS Ltd
2055364,"Antonelli Financial Advisors, LLC"
1568541,"AOZORA BANK, LTD."
1843111,APEIRON CAPITAL Ltd
1801846,Apeiron RIA LLC
1801507,"Apella Capital, LLC"
1787596,"Aperture Investors, LLC"
2056695,"Apex Wealth Management, LLC"
1434819,APG Asset Management N.V.
1323255,APG Asset Management US Inc.
1386892,"Apis Capital Advisors, LLC"
1449434,"Apollo Management Holdings, L.P."
2011195,"Apollon Financial, LLC"
1764387,"Apollon Wealth Management, LLC"
2111450,Appalachian Capital Management Ltd
1656456,APPALOOSA LP
1795816,Appian Way Asset Management LP
1055290,APPLETON PARTNERS INC/MA
1862965,Applied Capital LLC
1965393,Applied Capital LLC/FL
1966007,"Applied Finance Capital Management, LLC"
1849776,"Applied Fundamental Research, LLC"
2106948,"Approach Retirement Advisors, LLC"
1913842,"apricus wealth, LLC"
1425165,Apriem Advisors
1803519,"Aprio Wealth Management, LLC"
1914985,"APS Management Group, Inc."
1664193,"Aptus Capital Advisors, LLC"
1167456,AQR Arbitrage LLC
1167557,AQR CAPITAL MANAGEMENT LLC
2104187,Aquamarine Financial (Cayman) Ltd
1953324,Aquamarine Zurich AG
1803916,Aquatic Capital Management LLC
1745945,"Aquire Wealth Advisors, LLC"
1080166,AR ASSET MANAGEMENT INC
1991518,"Aragon Global Management, LP"
1768757,Ararat Capital Management LP
1586767,Arax Advisory Partners
2105395,Arbejdsmarkedets Tillaegspension
1513193,Arbiter Partners Capital Management LLC
1027570,ARBOR CAPITAL MANAGEMENT INC /ADV
1590073,"Arbor Investment Advisors, LLC"
1797135,"ARBOR TRUST WEALTH ADVISORS, LLC"
2009890,Arbor Wealth Advisors LLC
2054674,"ArborFi Advisors, LLC"
2047860,ARCADIA INVESTMENT ADVISORS LLC
1016972,ARCADIA INVESTMENT MANAGEMENT CORP/MI
2059339,"Arcadia Wealth Management, Inc."
1964226,"Arcadia Wealth Management, LLC"
1987321,Arcataur Capital Management LLC
947484,ARCH CAPITAL GROUP LTD.
2126837,"Arch Global Advisors, LLC"
1274403,"ARCH Venture Management, LLC"
1803804,Archer Investment Corp
2052868,"Archer Investment Management, LLC"
1606609,"Archford Capital Strategies, LLC"
1398825,Archon Capital Management LLC
1454424,Archon Partners LLC
1483472,ArchPoint Investors
1910174,"Archvest Wealth Advisors, Inc."
1651960,"Arcus Capital Partners, LLC"
1888792,"Ardent Capital Management, Inc."
1835730,Ardmore Road Asset Management LP
900529,ARDSLEY ADVISORY PARTNERS LP
1833078,"Arena Capital Advisors, LLC- CA"
2106717,"Ares Financial Consulting, LLC"
1259313,ARES MANAGEMENT LLC
2135379,Ares Systematic Credit Ltd
1600151,"Arete Wealth Advisors, LLC"
1800261,"AREX Capital Management, LP"
1556915,"ARGA Investment Management, LP"
1426851,"Argent Advisors, Inc."
1120926,ARGENT CAPITAL MANAGEMENT LLC
1625292,Argent Trust Co
2030055,"Argentarii, LLC"
2104895,"Argo Wealth Advisory, LLC"
1931870,"ARGONAUTICA PRIVATE WEALTH MANAGEMENT, INC"
1809154,"Argos Wealth Advisors, LLC"
2056354,"Argosy-Lionbridge Management, LLC"
7195,"ARGUS INVESTORS' COUNSEL, INC."
1321194,"Argyle Capital Management, LLC"
2079995,"Argyle Capital Partners, LLC"
2034793,"Ariadne Wealth Management, LP"
936753,"ARIEL INVESTMENTS, LLC"
1729515,Aries Wealth Management
2056819,Arini Captial Management Ltd
1665925,Ariose Capital Management Ltd
1964758,"Arista Wealth Management, LLC"
1080171,"ARISTEIA CAPITAL, L.L.C."
1595521,Aristides Capital LLC
1743859,Ariston Services Group
1697267,"Aristotle Atlantic Partners, LLC"
1633911,"Aristotle Capital Boston, LLC"
860644,"Aristotle Capital Management, LLC"
1844577,"Aristotle Pacific Capital, LLC"
1565332,Arizona PSPRS Trust
1558481,ARIZONA STATE RETIREMENT SYSTEM
1703208,Arjuna Capital
2013188,"ARK & TLK INVESTMENTS, LLC"
1697748,ARK Investment Management LLC
2110109,Ark Wealth Advisors LLC
1800798,Arkadios Wealth Advisors
764611,"ARKANSAS FINANCIAL GROUP, INC."
1789382,"Arkfeld Wealth Strategies, L.L.C."
1769089,Arkos Global Advisors
1606507,"Arlington Capital Management, Inc."
1716539,"Arlington Financial Advisors, LLC"
1389848,Arlington Partners LLC
1997685,Arlington Trust Co LLC
1664847,"Armbruster Capital Management, Inc."
1601086,"ARMISTICE CAPITAL, LLC"
1600698,"ARMOR ADVISORS, L.L.C."
1694079,"Armor Investment Advisors, LLC"
1932952,"ARMSTRONG ADVISORY GROUP, INC"
1056827,ARMSTRONG HENRY H ASSOCIATES INC
1990099,"Armstrong, Fleming & Moore, Inc"
1733755,Arnhold LLC
2107020,Arnold Financial Planning LLC
2043756,Arohi Asset Management PTE Ltd.
1596053,Arosa Capital Management LP
2074760,ARP Global Capital Ltd
1811827,"ARQ WEALTH ADVISORS, LLC"
2052048,"ARRIEN INVESTMENTS, INC."
2087115,"Arrington Capital Management, LLC"
1389082,"Arrow Capital Management, LLC"
2005134,Arrow Capital Pty Ltd
717538,Arrow Financial Corp
1378410,"Arrow Investment Advisors, LLC"
1483859,ArrowMark Colorado Holdings LLC
2032331,Arrowpoint Investment Partners (Singapore) Pte. Ltd.
2017744,"Arrowroot Family Office, LLC"
1164508,"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP"
733020,"ARS Investment Partners, LLC"
1886707,"ARS Wealth Advisors Group, LLC"
2109474,Arsenal Capital Advisors LLC
2099257,Arta Finance Wealth Management LLC
1053906,Artal Group S.A.
1535385,Artemis Investment Management LLP
1767435,"Artemis Wealth Advisors, LLC"
2109808,"Artesa Financial Group, LLC"
1846503,"Arthedge Capital Management, LLC"
1692252,"ARTHUR M. COHEN & ASSOCIATES, LLC"
1937964,Artia Global Partners LP
1466153,Artisan Partners Limited Partnership
1625959,Arvest Bank Trust Division
1025038,"ARVEST INVESTMENTS, INC."
1961738,Arvin Capital Management LP
2113621,ARWA LLC
1564835,"ASAHI LIFE ASSET MANAGEMENT CO., LTD."
1689227,"Ascension Capital Advisors, Inc."
2109853,"Ascent Advisors, LLC"
1913231,"Ascent Group, LLC"
1546865,"Ascent Wealth Partners, LLC"
1845003,Ascentis Independent Advisors
2032602,"Ascentis Wealth Management, LLC"
2099967,Asempa Wealth Advisors
1632715,"Ashe Capital Management, LP"
1861158,"Ashford Advisors, LLC"
897070,ASHFORD CAPITAL MANAGEMENT INC
2031708,Ashoka WhiteOak Capital Pte Ltd
2019663,"Ashton Thomas Private Wealth, LLC"
771572,"ASHTON THOMAS SECURITIES, LLC"
1803291,"Asio Capital, LLC"
2056598,"ASK CAPITAL MANAGEMENT, LLC"
2105933,"ASL Financial, LLC"
2108771,ASO GROUP Ltd
2111529,"Aspect Management, LLC"
1985284,"Aspect Partners, LLC"
2065974,"Aspen Capital Management, LLC"
1806027,"Aspen Grove Capital, LLC"
1541596,Aspen Investment Management Inc
1895252,Aspen Wealth Management LLC
1972517,"Aspen Wealth Strategies, LLC"
2048608,Aspetuck Financial Management LLC
1768375,Aspex Management (HK) Ltd
1906014,Aspire Capital Advisors LLC
2055568,Aspire Growth Partners LLC
1767340,"Aspire Private Capital, LLC"
2110285,"Aspirean Wealth, LLC"
1433541,"ASPIRIANT, LLC"
1738640,"Aspiring Ventures, LLC"
1916757,ASR Vermogensbeheer N.V.
1546007,Assenagon Asset Management S.A.
1756695,"Asset Advisors Investment Management, LLC"
2110402,"Asset Advisory Group, Inc."
1498383,"Asset Allocation & Management Company, LLC"
1922879,Asset Allocation Strategies LLC
1475896,"Asset Dedication, LLC"
1596355,"Asset Management Advisors, LLC"
